tempo,abertura,alto,baixo,fechamento,volume,Dividends,Stock Splits,moeda,mercado
2024-05-29 00:00:00-04:00,473.73727077220235,478.91718391618633,472.77914552806004,473.4378356933594,9226200,0.0,0.0,META,EUA
2024-05-30 00:00:00-04:00,470.75307297693655,470.8129538985026,463.8065814927648,466.14202880859375,10735200,0.0,0.0,META,EUA
2024-05-31 00:00:00-04:00,464.8944888539879,468.2080421997003,453.576537073678,465.9224853515625,16919800,0.0,0.0,META,EUA
2024-06-03 00:00:00-04:00,469.9446210826347,478.6676510030138,467.3297193052714,476.5617370605469,11279400,0.0,0.0,META,EUA
2024-06-04 00:00:00-04:00,476.0727039295181,477.95904435750145,472.3100438382742,476.0627136230469,7088700,0.0,0.0,META,EUA
2024-06-05 00:00:00-04:00,483.50823579714756,495.6845005815194,482.9692770350638,494.09759521484375,15690500,0.0,0.0,META,EUA
2024-06-06 00:00:00-04:00,492.0216579190722,501.842525305561,489.93572453374827,492.8001403808594,10667300,0.0,0.0,META,EUA
2024-06-07 00:00:00-04:00,494.94595585748885,497.9401238650054,489.21712414974803,492.0016784667969,9380700,0.0,0.0,META,EUA
2024-06-10 00:00:00-04:00,492.89992510751927,501.68283624603885,492.45081817921994,501.6229553222656,11236900,0.0,0.0,META,EUA
2024-06-11 00:00:00-04:00,499.1876728383582,506.61321162083607,497.3013324531296,506.48345947265625,9673700,0.0,0.0,META,EUA
2024-06-12 00:00:00-04:00,512.9907817492206,513.0107623620365,503.4892998154175,507.8507995605469,11983200,0.0,0.0,META,EUA
2024-06-13 00:00:00-04:00,504.7268811426852,508.3697793782168,500.3853315378182,503.1200256347656,9954600,0.0,0.0,META,EUA
2024-06-14 00:00:00-04:00,502.17093377239473,506.66664496192107,500.27275070118213,503.67950439453125,10243300,0.5,0.0,META,EUA
2024-06-17 00:00:00-04:00,501.1918914793142,510.2632242736873,495.5372821439666,506.14715576171875,11266600,0.0,0.0,META,EUA
2024-06-18 00:00:00-04:00,504.07912183856513,505.5177518719045,494.5482054898148,499.0139465332031,13060400,0.0,0.0,META,EUA
2024-06-20 00:00:00-04:00,501.5215646800496,503.1899864874481,496.29653819965694,501.22186279296875,11801200,0.0,0.0,META,EUA
2024-06-21 00:00:00-04:00,502.97019150143467,502.97019150143467,491.920734842044,494.3084411621094,23130700,0.0,0.0,META,EUA
2024-06-24 00:00:00-04:00,498.724241424852,507.31602066261,493.81891732248965,498.43450927734375,13525300,0.0,0.0,META,EUA
2024-06-25 00:00:00-04:00,496.5762684954333,510.22325333147273,495.027757936438,510.1133728027344,12109800,0.0,0.0,META,EUA
2024-06-26 00:00:00-04:00,506.16714626585525,513.3203263005192,504.19902249592326,512.6309814453125,8882300,0.0,0.0,META,EUA
2024-06-27 00:00:00-04:00,513.7598825887336,522.3816624532625,513.4102405548198,519.0648193359375,10121200,0.0,0.0,META,EUA
2024-06-28 00:00:00-04:00,516.6571408083153,521.3826132431902,503.35979820893175,503.73944091796875,15855100,0.0,0.0,META,EUA
2024-07-01 00:00:00-04:00,504.46876731486805,506.097188225664,492.69999551666865,504.1990051269531,10328200,0.0,0.0,META,EUA
2024-07-02 00:00:00-04:00,500.28274399714803,510.01345121404256,498.9739949747379,509.014404296875,7739500,0.0,0.0,META,EUA
2024-07-03 00:00:00-04:00,505.88739365325597,510.79271778265587,505.53772112688665,509.4739685058594,6005600,0.0,0.0,META,EUA
2024-07-05 00:00:00-04:00,511.11240088917486,540.3544927193118,511.11240088917486,539.3953857421875,21354100,0.0,0.0,META,EUA
2024-07-08 00:00:00-04:00,541.8331021250085,542.2926856849058,526.1481134099676,528.8155517578125,14917500,0.0,0.0,META,EUA
2024-07-09 00:00:00-04:00,533.2412990354143,536.9677245727125,527.6866005421529,529.494873046875,8753200,0.0,0.0,META,EUA
